Text,Suspicious
"""You won’t know what hit you if you don’t do what I say.""",1
"""You and your family won’t be safe unless you pay up.""",1
"""You’ll regret ignoring this warning. We’re watching you.""",1
"""If you don’t meet our demands, expect things to get very ugly.""",1
"""I have something on you that could ruin your life. Pay me, and I’ll keep quiet.""",1
"""If you don’t pay me by tomorrow, I’ll send your secrets to everyone you know.""",1
"""I have photos of you that would destroy your career. Do what I say, or I’ll release them.""",1
"""We have your loved one. If you ever want to see them again, follow our instructions.""",1
"""Your child is in our hands. Cooperate, or you won’t ever see them again.""",1
"""You have 24 hours to comply, or you’ll never hear from them again.""",1
"""One word from me, and your whole life will come crashing down.""",1
"""If you don’t do what we ask, everyone will know what you’ve done.""",1
"""I’ll make sure your entire career is ruined if you cross me.""",1
"""We know everything about you. Don’t test us.""",1
"""It would be wise to stop looking for a way out, because there isn’t one.""",1
"""You won’t get a second chance, so do exactly as we say.""",1
"""If you don’t pay, I’ll expose everything online for the world to see.""",1
"""Your data is already in our hands. A little money, and it stays private.""",1
"""I’ll destroy your online presence if you don’t cooperate right now.""",1
"""I know where you live. If you don't give me what I want, you’ll regret it.""",1
"""You’re not safe anymore. Your house is easy to find.""",1
"""One way or another, we’ll make you pay for what you’ve done.""",1
"""If you try to call the police, you’ll regret it. We’ll be there before they are.""",1
"""Don’t think about escaping. There’s no way out of this now.""",1
"""I told you what would happen if you didn’t pay. Now it’s too late.""",1
"""You’ve been warned. Now you’ll face the consequences.""",1
"""Anyone who crosses me doesn’t walk away from it. Trust me.""",1
"""You think this is over? It’s just beginning. I’ll make sure everyone knows what you’ve done.""",1
"""We have access to your bank accounts, your passwords. If you don’t do as we say, you’ll regret it.""",1
"""You have a choice: pay up, or we’ll make your life a living hell.""",1
"""We’ve got your dirty secrets. If you want to keep them hidden, you know what to do.""",1
"""If you don’t want the authorities to find out about your little secret, you better listen closely.""",1
"""Meet me tonight. The money needs to be in my hands by then, or this deal is off.""",1
"""I’ve already moved the cash. You’ll get your share once we make the transfer. No funny business.""",1
"""You better not screw up this deal, or I’ll find a way to make you disappear.""",1
"""You know what’s at stake. One wrong move, and we all go down.""",1
"""I’ve got connections who can get rid of the evidence. Just pay the fee and keep your mouth shut.""",1
"""You’re running out of time. Pay for the shipment, or you’ll be held responsible.""",1
"""I don’t care who you have to deal with. You get me the money, or we’ll take care of your problem another way.""",1
"""This is your final warning. I don’t want to see you again until you have the cash.""",1
"""We can either work together or against each other. Don’t make the wrong choice.""",1
"""You better have the product by the time I get there. If not, there will be consequences.""",1
"""This is a reminder: you owe us. Don’t make me come looking for you again.""",1
"""Our people are already watching you. Don’t think about crossing us.""",1
"""You didn’t think we’d forget, did you? Pay what you owe, or we’ll send someone to collect.""",1
"""You’ve been running from us for too long. It’s time to face the music.""",1
"""Stay out of our business, or we’ll make sure you regret it.""",1
"""You have exactly 24 hours to get us the money, or your store is going to burn down.""",1
"""We know where your safe is. If you don’t cooperate, we’ll take everything—and your family too.""",1
"""Your security won’t stop us. We’ll have what we need by the end of the night.""",1
"""You’ll regret locking that door. We always find a way in.""",1
"""You can’t stop us. We will strike when you least expect it.""",1
"""If you don’t change your policies, we’ll make sure the world knows what we’re capable of.""",1
